Testcase,Ignore,FMAX[-]_ref,FMAX[-]_cur,FMAX[-]_Ratio,FMAX[-]_Win/Loss,LUTs[-]_ref,LUTs[-]_cur,LUTs[-]_Ratio,LUTs[-]_Win/Loss,SLICES[-]_ref,SLICES[-]_cur,SLICES[-]_Ratio,REGISTERS[-]_ref,REGISTERS[-]_cur,REGISTERS[-]_Ratio,DSPs[-]_ref,DSPs[-]_cur,DSPs[-]_Ratio,RAMB18[-]_ref,RAMB18[-]_cur,RAMB18[-]_Ratio,DIST_RAM[-]_ref,DIST_RAM[-]_cur,DIST_RAM[-]_Ratio
Average,87/102,297.47,297.88,1,06-Apr,36341.93,36341.82,1,0/0,7136.09,7139.32,1,36023.44,36024.52,1,87.05,87.05,1,20.32,20.32,1,60.07,60.07,1
igt_wavelet_4lvl.v3(wavelet_4_level_registered_10_stage)rtl/AboundLogic/igt/igt_wavelet_4lvl.v3/benchmark_psp, ,119.88,119.88,1,-,210592,210592,1,-,39884,39884,1,193183,193183,1,1056,1056,1,0,0,1,0,0,1
igt_aes.v3(aes_encrypt_protocol_decrypt)rtl/AboundLogic/igt/igt_aes.v3/benchmark_psp, ,338.86,299.76,0.88,L,64227,63642,0.99,-,14485,13958,0.96,108430,108428,1,0,0,1,0,0,1,88,88,1
c_improve(c_improve)rtl/cae/xilinx/c_improve/benchmark_psp, ,526.31,526.31,1,-,3837,3837,1,-,908,908,1,6776,6776,1,0,0,1,0,0,1,0,0,1
PRINT_TOP(PRINT_TOP)rtl/sqa/drs/dts0100437989/benchmark_psp, ,80.5,80.5,1,-,4521,4521,1,-,840,840,1,2168,2168,1,0,0,1,0,0,1,0,0,1
RTL_QIS_1024(multiDimArray_f)rtl/customer/rom_mapping/multiDimArray_func/RTL_QIS_1024/benchmark_psp, ,324.04,330.68,1.02,-,2693,2704,1,-,479,429,0.9,719,731,1.02,1,1,1,16,16,1,0,0,1
viterbi_eml_timed(viterbi_eml_timed)rtl/nbe/mathworks/communications/viterbi_eml_timed/benchmark_psp, ,243.07,243.07,1,-,3541,3541,1,-,709,709,1,3655,3655,1,0,0,1,0,0,1,0,0,1
twofish3in1_iter(TWOFISH_TOP_ITER)rtl/cae/cust/nsa/twofish3in1_iter/benchmark_psp, ,115.7,115.7,1,-,3920,3920,1,-,857,857,1,980,980,1,0,0,1,0,0,1,0,0,1
rc4(rc4)rtl/sqa/drs/dts0100483096/benchmark_psp, ,255.1,236.51,0.93,L,5993,5992,1,-,939,943,1,2460,2459,1,0,0,1,0,0,1,0,0,1
CNN_any_tech(CNN)rtl/customer/SiemensVienna_CNN/CNN_any_tech/benchmark_psp, ,130.1,129.36,0.99,-,16566,16437,0.99,-,3670,3154,0.86,10510,10470,1,18,18,1,155,155,1,96,96,1
rijndael3in1_pipe(RIJNDAEL_TOP_PIPE)rtl/cae/cust/nsa/rijndael3in1_pipe/benchmark_psp, ,46.87,46.87,1,-,56301,56301,1,-,10166,10166,1,6395,6395,1,0,0,1,0,0,1,0,0,1
Cholesky(CU_Eight_Engine)rtl/customer/Facebook/Cholesky/benchmark_psp, ,220.45,224.06,1.02,-,44817,44909,1,-,8069,8146,1.01,22889,23009,1.01,64,64,1,16,16,1,0,0,1
nova(nova)rtl/cae/xilinx/nova/benchmark_psp, ,90.27,90.27,1,-,20281,20281,1,-,3751,3751,1,6302,6302,1,0,0,1,5,5,1,112,112,1
igt_eight_cpu_periph.v3(eight_cpu_system_with_peripherals)rtl/AboundLogic/igt/igt_eight_cpu_periph.v3/benchmark_psp, ,211.86,217.86,1.03,-,44249,44458,1,-,8227,8118,0.99,22039,22022,1,8,8,1,80,80,1,96,96,1
packet_detect(packet_detect)rtl/sqa/drs/dts0100500290/benchmark_psp, ,189.17,185.42,0.98,-,3173,3230,1.02,-,575,646,1.12,1323,1324,1,39,39,1,0,0,1,0,0,1
design_102(beam_forming)rtl/cae/altera/design_102/benchmark_psp, ,332.66,336.02,1.01,-,4698,4697,1,-,1370,1404,1.02,4848,4842,1,34,34,1,0,0,1,0,0,1
MARS128_iter(MARS_TOP_ITER)rtl/cae/cust/nsa/MARS128_iter/benchmark_psp, ,37.79,37.79,1,-,13504,13504,1,-,2685,2685,1,2442,2442,1,7,7,1,0,0,1,0,0,1
igt_cn_2.v3(cn_with_2_nodes_without_router)rtl/AboundLogic/igt/igt_cn_2.v3/benchmark_psp, ,217.91,223.46,1.03,-,20483,20491,1,-,4065,4150,1.02,12190,12196,1,0,0,1,0,0,1,0,0,1
FFT_512Pt_EML_Serial(FFT_512Pt_EML_Serial)rtl/nbe/mathworks/communications/FFT_512Pt_EML_Serial/benchmark_psp, ,273.29,273.29,1,-,1354,1354,1,-,359,359,1,2427,2427,1,32,32,1,11,11,1,48,48,1
igt_fir_dir100.v3(fir_direct_100_stop_10000_pass_20000_float64)rtl/AboundLogic/igt/igt_fir_dir100.v3/benchmark_psp, ,153.91,153.91,1,-,270358,270358,1,-,51365,51365,1,238290,238290,1,1215,1215,1,0,0,1,0,0,1
design_49(sbd_top)rtl/cae/altera/design_49/benchmark_psp, ,275.93,297.44,1.08,W,4673,4674,1,-,1663,1744,1.05,12223,12283,1,10,10,1,0,0,1,0,0,1
igt_wavelet_6lvl.v3(wavelet_6_level_direct_6_stage)rtl/AboundLogic/igt/igt_wavelet_6lvl.v3/benchmark_psp, ,131.19,131.19,1,-,196265,196265,1,-,40138,40138,1,167262,167262,1,864,864,1,0,0,1,0,0,1
systolic(systolic)rtl/cae/xilinx/systolic/benchmark_psp, ,537.92,537.92,1,-,0,0,1,-,10,10,1,72,72,1,23,23,1,0,0,1,0,0,1
CAT-23840_Eric_dec(pd_dec)rtl/sqa/drs/dts0101417250/CAT-23840_Eric_dec/benchmark_psp, ,498.75,498.75,1,-,3460,3460,1,-,1356,1356,1,10987,10987,1,48,48,1,0,0,1,0,0,1
design_44(mfcpx_2sin)rtl/cae/altera/design_44/benchmark_psp, ,672.04,672.04,1,-,3542,3542,1,-,999,999,1,10900,10900,1,0,0,1,0,0,1,0,0,1
Solution_2(exec_canal)rtl/cae/catapult_designs/France_Telecom/designA/Catapult/Solution_2/benchmark_psp, ,258.86,254.71,0.98,-,8204,8187,1,-,1243,1260,1.01,6051,5940,0.98,11,11,1,7,7,1,0,0,1
galileo(top_atad)rtl/cae/cust/MAYUR/galileo/benchmark_psp, ,330.68,322.37,0.97,-,5975,5976,1,-,1177,1118,0.95,3966,3961,1,0,0,1,0,0,1,842,842,1
igt_cx_fft_256.v3(complex_fft_256)rtl/AboundLogic/igt/igt_cx_fft_256.v3/benchmark_psp, ,177.74,178.73,1.01,-,197304,197324,1,-,35757,35646,1,195012,195007,1,432,432,1,76,76,1,1120,1120,1
igt_reedsolom_8.v3(reed_solomon_parallel_8_byte_repair)rtl/AboundLogic/igt/igt_reedsolom_8.v3/benchmark_psp, ,285.14,280.26,0.98,-,84664,84711,1,-,17007,17499,1.03,115394,115394,1,198,198,1,0,0,1,376,376,1
MAC405A(TOP)rtl/customer/mitsubishi/MAC405A/benchmark_psp, ,321.02,315.25,0.98,-,22763,22766,1,-,6729,6652,0.99,45393,45372,1,0,0,1,0,0,1,0,0,1
design_51(sv_m3)rtl/cae/altera/design_51/benchmark_psp, ,393.7,383.43,0.97,-,5765,5764,1,-,1284,1282,1,6969,6969,1,0,0,1,0,0,1,0,0,1
setup2(setup2)rtl/cae/cust/unknown/setup2/benchmark_psp, ,233.86,233.86,1,-,4324,4324,1,-,877,877,1,2558,2558,1,6,6,1,0,0,1,0,0,1
DMC_RXFIR_S(DMC_RXFIR_S)rtl/sqa/drs/dts0100261679/benchmark_psp, ,1280.4,1338.68,1.05,W,4619,4619,1,-,1133,1169,1.03,6945,6945,1,25,25,1,0,0,1,0,0,1
igt_eight_cpu.v3(eight_cpu_system)rtl/AboundLogic/igt/igt_eight_cpu.v3/benchmark_psp, ,210.08,214.17,1.02,-,39129,39247,1,-,7275,7294,1,20286,20387,1,8,8,1,80,80,1,96,96,1
igt_quad_cpu.v3(quad_cpu_system)rtl/AboundLogic/igt/igt_quad_cpu.v3/benchmark_psp, ,330.25,320.71,0.97,-,11852,11867,1,-,2427,2434,1,6134,6109,1,4,4,1,8,8,1,96,96,1
layer_wrapper_run(layer_wrapper_run)rtl/customer/Simple_CNN/layer_wrapper_run/benchmark_psp, ,153.89,153.89,1,-,29992,29992,1,-,5247,5247,1,5108,5108,1,1,1,1,793,793,1,16,16,1
igt_aes_2.v3(aes_encrypt_2_protocol_decrypt)rtl/AboundLogic/igt/igt_aes_2.v3/benchmark_psp, ,310.94,325.3,1.05,W,93706,93837,1,-,21140,21100,1,159316,159318,1,0,0,1,0,0,1,136,136,1
MARS3in1_iter(MARS_TOP_ITER)rtl/cae/cust/nsa/MARS3in1_iter/benchmark_psp, ,35.04,36.32,1.04,-,14071,14074,1,-,2844,3476,1.22,3054,3054,1,7,7,1,0,0,1,0,0,1
